Method,National Electricity Consumption (TWh/year),National Energy Consumption (TJ/year),National Electricity Generation (TWh/year)
Flow,39.6577263879215,,
Effluent A,49.943090128428004,,
Effluent B,33.64209936041001,,
Configuration A (T),18.039817159316332,77266.84852548028,0.823772835835
Configuration B (T),29.384779740531506,127332.04226773407,3.0587727592104734
Configuration A (BP),11.998054020616,53219.85444899543,1.0684959082499998
Configuration B (BP),18.091128954470637,83880.4440810567,3.922389269133123
Process A,60.4529583578219,,
Process B,48.83822511086027,,
Biogas A,,,2.6250191316642186
Biogas B,,,2.978132860243595
Biogas C,,,8.973957498484467
Regression,,303802.0630170614,
